F1_CL,F2_CL,F3_CL,F1_CD,F2_CD,F3_CD
13,61,10,27,75,29
29,71,0,43,82,55
18,74,0,46,83,45
0,79,0,20,87,57
0,93,0,0,79,0
0,76,14,0,77,45
0,75,0,0,62,59
0,82,40,0,62,81
0,69,44,0,77,26
0,76,0,0,76,0
0,78,0,0,86,0
0,69,0,0,85,0
0,44,0,9,87,0
0,60,0,0,91,0
0,3,0,2,79,16
0,64,0,0,89,89
0,86,0,15,88,74
0,80,0,0,88,65
0,74,0,0,85,6
0,48,0,15,89,0
0,33,0,0,77,0
0,44,0,45,78,0
0,48,0,58,89,0
0,45,0,21,86,0
0,70,0,27,73,31
0,59,0,50,79,0
0,86,0,52,89,0
0,1,0,67,80,36
0,60,0,66,88,61
0,75,0,57,84,49
0,40,0,33,77,39
0,67,0,14,82,35
0,70,0,31,83,43
0,61,0,8,88,31
0,61,0,15,82,38
0,18,0,23,82,0
0,0,0,20,81,69
0,19,0,11,74,52
0,57,0,27,61,53
0,10,0,13,61,71
0,17,0,81,15,33
0,32,0,43,59,79
0,18,0,56,44,83
0,25,0,31,7,73
0,9,0,76,22,32
0,14,0,84,34,25
0,37,0,75,40,30
0,38,0,63,43,50
0,0,0,30,76,8
0,12,0,0,52,30
0,50,0,10,82,28
0,1,0,83,84,15
0,51,0,74,83,51
0,57,0,65,65,31
0,49,0,59,42,15
0,25,0,51,56,45
0,80,0,30,68,6
0,51,0,74,57,0
0,42,0,72,59,0
0,71,0,17,80,0
0,33,0,49,88,20
0,55,0,46,88,0
0,55,0,68,84,14
0,32,0,76,83,40
0,8,0,86,83,60
0,13,0,87,74,55
0,5,0,81,75,38
0,7,0,88,75,70
0,0,0,82,55,54
0,0,0,83,82,59
0,0,0,83,86,60
0,0,0,48,87,56
0,0,0,37,79,52
0,0,0,71,90,71
0,0,0,78,87,65
0,6,0,80,61,79
0,21,0,81,68,70
0,12,0,80,90,27
0,6,0,84,80,51
0,56,0,81,91,71
0,82,0,84,63,70
0,75,0,77,90,42
0,77,0,85,89,41
0,49,0,83,88,6
0,40,0,58,65,75
0,22,0,74,32,31
0,56,0,78,90,68
0,29,0,73,85,73
0,0,0,84,81,59
0,17,0,80,84,56
0,58,0,76,57,45
0,47,0,82,26,57
0,23,0,85,20,55
0,0,0,79,39,67
0,64,0,83,0,52
0,82,0,86,0,45
0,76,0,73,0,39
0,76,0,62,0,54
0,76,0,53,0,62
0,79,0,44,0,65
0,61,0,57,0,71
0,66,0,42,0,67
0,19,0,44,0,68
0,67,0,72,0,55
0,82,0,68,4,44
0,76,0,73,0,64
0,69,0,75,0,55
15,83,0,77,0,55
47,76,0,67,0,49
46,63,0,76,0,28
32,59,0,65,0,61
29,69,0,76,0,45
0,45,0,72,6,32
0,34,0,81,57,49
0,30,0,84,51,11
0,27,0,69,0,20
0,38,0,85,65,9
0,31,0,77,87,28
0,0,0,48,66,52
0,0,0,68,77,48
0,27,0,51,74,77
0,11,0,64,90,71
0,0,0,21,84,56
0,0,0,12,64,67
0,0,0,44,61,71
0,9,0,0,53,43
0,66,0,47,68,27
0,6,0,5,86,62
0,43,0,49,71,47
0,2,0,84,40,55
0,17,0,55,73,61
0,15,0,86,51,53
0,10,0,70,73,40
0,50,0,32,5,76
0,54,0,17,38,82
0,2,0,2,49,61
0,0,0,25,72,53
0,51,0,33,57,52
0,11,0,13,29,81
0,0,0,43,11,68
0,0,0,0,68,78
0,40,0,0,64,82
0,78,0,0,75,51
0,70,0,31,72,44
0,6,0,56,73,0
0,0,0,37,81,4
0,0,0,26,40,79
0,0,0,47,67,69
0,0,0,73,41,44
0,0,0,29,33,58
0,0,0,47,28,48
0,0,0,60,66,34
0,0,0,79,53,33
0,0,0,82,70,31
0,0,0,85,69,20
0,0,0,56,93,0
0,0,0,43,72,0
0,0,0,36,72,0
0,0,0,44,80,0
0,32,0,13,69,0
0,68,0,5,79,15
0,48,0,32,51,12
0,45,0,0,58,23
0,0,0,0,79,73
0,42,0,0,73,70
0,4,0,0,67,68
0,0,0,0,73,1
0,14,0,41,81,78
0,54,0,25,77,63
0,34,0,0,44,84
0,50,0,0,82,39
0,35,0,0,85,51
0,21,0,0,68,50
0,0,0,1,68,52
0,0,0,0,77,0
0,0,0,0,75,0
0,0,0,0,80,58
0,0,0,0,91,47
0,7,0,14,82,0
0,0,0,14,85,15
0,0,0,0,93,79
0,0,0,2,76,84
0,0,0,22,67,79
0,0,0,38,57,30
0,0,0,0,69,21
0,0,0,44,70,48
0,0,0,24,76,0
0,0,0,50,85,63
0,0,0,58,82,84
0,0,0,61,77,73
0,0,0,54,72,79
0,0,0,30,49,80
0,0,0,16,74,87
0,0,0,0,67,73
0,0,0,0,77,79
0,0,0,0,55,80
0,0,0,0,81,73
0,0,0,0,80,79
0,0,0,0,52,74
0,0,0,0,59,50
0,0,0,0,48,45
0,0,0,0,14,63
0,0,0,0,22,62
0,0,0,0,41,82
0,0,0,0,65,37
0,0,0,0,67,29
0,0,0,0,0,51
