X,CL_CON_4179,CL_HFD_4113,CD_CON_4045,CD_HFD_4277
439,-10.06774,-11.12939,-8.009225,-6.713776
440,-9.57497,-11.00128,-8.090237,-6.495398
441,-10.00163,-10.58903,-8.049662,-6.780905
442,-11.6207,-10.72096,-7.724131,-7.794852
443,-13.09769,-10.42311,-7.373914,-8.063406
444,-13.76467,-10.79044,-7.017589,-8.483862
445,-14.17015,-10.97203,-6.937328,-8.090075
446,-13.78101,-10.78309,-6.406605,-8.772737
447,-13.14511,-10.57518,-5.947632,-8.790561
448,-12.34993,-10.25375,-5.030357,-8.77951
449,-11.46065,-9.513342,-5.199065,-9.32199
450,-10.92907,-9.121464,-5.542255,-10.18132
451,-11.62889,-8.574172,-5.763226,-11.35977
452,-12.94947,-8.380077,-5.896684,-11.93379
453,-13.71309,-8.476882,-6.224195,-13.2275
454,-14.45652,-8.046647,-6.149503,-14.02457
455,-15.90438,-8.060444,-5.831644,-15.00596
456,-16.14909,-8.528234,-5.191641,-15.71782
457,-16.65005,-8.765609,-5.295472,-16.15528
458,-17.09526,-9.47337,-5.090209,-16.35938
459,-18.04449,-9.798758,-5.217409,-16.05488
460,-18.33462,-9.606668,-5.75444,-15.41749
461,-16.86816,-9.367021,-7.038376,-14.58636
462,-14.70288,-9.293753,-8.11874,-14.06134
463,-12.56174,-9.263213,-9.598327,-13.86531
464,-10.79222,-9.017425,-10.54035,-14.03712
465,-10.39946,-8.63469,-11.23474,-14.00869
466,-10.12144,-8.753017,-11.70695,-13.80583
467,-10.02911,-8.567547,-12.71015,-13.80608
468,-11.36545,-9.095139,-13.25248,-14.14953
469,-12.49899,-10.32006,-13.80441,-14.14755
470,-13.21239,-11.76506,-13.81077,-14.1111
471,-13.08997,-12.532,-13.74849,-13.86668
472,-13.34108,-13.18583,-13.60054,-13.44434
473,-13.64618,-13.09102,-12.95603,-13.1009
474,-13.85381,-12.76211,-12.61786,-13.50336
475,-13.93128,-12.51632,-12.47704,-14.26382
476,-13.66269,-12.4975,-12.61792,-14.87153
477,-13.48979,-12.32579,-12.71703,-15.42292
478,-13.21943,-11.906,-13.17607,-15.84588
479,-13.64764,-11.38858,-13.64375,-16.3874
480,-14.46974,-11.11236,-13.5494,-16.28585
481,-15.51231,-11.02286,-13.23993,-16.59129
482,-15.97188,-10.71278,-12.69168,-15.93035
483,-16.53808,-10.25396,-12.14966,-14.89882
484,-17.2337,-10.17857,-11.89114,-13.93947
485,-17.75226,-10.50717,-12.02603,-14.11414
486,-16.76739,-10.59012,-12.14183,-14.51655
487,-15.8788,-10.56566,-12.41796,-15.42299
488,-15.41812,-10.78115,-12.69424,-16.45387
489,-15.19321,-11.22763,-12.68739,-16.76045
490,-15.02698,-10.83107,-12.76965,-17.27353
491,-15.08102,-11.00609,-13.30417,-17.36629
492,-15.32076,-10.95043,-13.9845,-16.85568
493,-14.97378,-11.1545,-12.43555,-14.97085
494,-15.10835,-10.22898,-13.78221,-14.14296
